title	year	budget	revenue	release_date	runtime	vote_average	imdb_id	genre
Seeker: The Dark Is Rising The	2007	NULL	NULL	2007-10-05	99	5.6	tt0484562	Action-Adventure-Drama-Fantasy-Science Fiction
Seeking A Friend For The End Of The World	2012	10000000	6619173	2012-06-22	101	6.1	tt1307068	Comedy-Drama-Science Fiction-Romance
Seeking Justice	2011	NULL	NULL	2011-09-02	105	6	tt1214962	Action-Drama-Thriller
Seizoku	1970	NULL	NULL	NULL	NULL	NULL	NULL	NULL
SemiPro	2008	NULL	33472850	2008-02-29	91	5.7	tt0839980	Comedy-Sports Film
Semum	2008	NULL	NULL	2008-01-01	116	NULL	tt1153085	NULL
Sen To Chihiro No Kamikakushi	2001	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Senda La	2012	NULL	NULL	2012-06-15	82	3	tt1863305	Drama-Thriller
Seng Ped	2009	NULL	NULL	NULL	NULL	NULL	NULL	NULL
Sengoku jieitai	1979	NULL	NULL	1979-09-17	139	7	tt0083050	Action-War-Foreign
Senna	2010	NULL	11849471	2011-06-02	106	7.7	tt1424432	Documentary-Sport
Sennentuntschi	2010	NULL	NULL	2010-09-23	110	7.8	tt1296077	Horror-Mystery
Sense And Sensibility	1995	NULL	NULL	1995-12-13	136	7.4	tt0114388	Drama-Romance
Sensitive Couple	2008	NULL	NULL	2008-11-27	85	NULL	tt1606190	NULL
Sentiments Les	2003	NULL	NULL	2003-09-01	94	6.5	tt0329584	Drama-Romance
Sentinel The	1977	NULL	3	1977-01-07	92	6.3	tt0076683	Drama-Horror-Mystery
Seontaek	2003	NULL	NULL	NULL	NULL	NULL	NULL	NULL
